Player,Team,Pos,Age,Standard_Gls,Standard_Ast,Standard_xG,Standard_xAG,Transfer_Value,Transfer_Value_Str
Alphonse Areola,West Ham,GK,31,0,0,0.0,0.0,5.85,EUR 5.8M
Altay Bayındır,Manchester Utd,GK,26,0,0,0.0,0.0,6.6000000000000005,EUR 6.6M
Amad Diallo,Manchester Utd,"MF,FW",22,8,6,4.7,4.9,29.0736,EUR 29.1M
Amadou Onana,Aston Villa,MF,22,3,0,2.1,0.7,15.6672,EUR 15.7M
Andreas Pereira,Fulham,MF,28,2,4,3.8,4.6,14.918399999999998,EUR 14.9M
Andrew Robertson,Liverpool,DF,30,0,1,1.2,4.6,10.300799999999999,EUR 10.3M
André,Wolves,MF,23,0,0,0.4,0.8,14.2692,EUR 14.3M
André Onana,Manchester Utd,GK,28,0,0,0.0,0.2,6.3126,EUR 6.3M
Andrés García,Aston Villa,"DF,MF",21,0,0,0.0,0.2,14.7294,EUR 14.7M
Andy Irving,West Ham,MF,24,0,0,0.1,0.2,13.841399999999997,EUR 13.8M
Anthony Elanga,Nott'ham Forest,"FW,MF",22,6,11,4.5,5.7,29.959199999999996,EUR 30.0M
Anthony Gordon,Newcastle Utd,"FW,MF",23,6,5,8.0,5.0,28.023749999999996,EUR 28.0M
Antoine Semenyo,Bournemouth,FW,24,11,5,10.0,5.8,30.0771,EUR 30.1M
Antonee Robinson,Fulham,DF,26,0,10,0.7,4.2,12.66144,EUR 12.7M
Antony,Manchester Utd,"DF,MF",24,0,0,1.0,0.1,13.951799999999997,EUR 14.0M
Antonín Kinský,Tottenham,GK,21,0,0,0.0,0.1,7.3573499999999985,EUR 7.4M
Archie Gray,Tottenham,"DF,MF",18,0,0,0.0,0.1,15.6156,EUR 15.6M
Arijanet Muric,Ipswich Town,GK,25,0,0,0.0,0.0,6.75,EUR 6.8M
